Package_Name,Obfuscation_method,Path Obfuscated Code,Path Deobfuscated Code,Obfuscation Tool,Deobfuscation Tool,Obfuscated Code Detected,Deobfuscated Code Detected,Notes
bleeding-edge-css,Self Defending,/package/obfuscated/ndex(self_def).js,/package/deobfuscated/ndex(self_def)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,In obfuscator.io forcibly sets compact obfuscation value to true 
bleeding-edge-css,Debug Protection,/package/obfuscated/ndex(deb_protect).js,/package/deobfuscated/ndex(deb_protect)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
bleeding-edge-css,Number to Expressions,/package/obfuscated/ndex(num_to_exp).js,/package/deobfuscated/ndex(num_to_exp)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
bleeding-edge-css,Control Flow Flattening,/package/obfuscated/ndex(control_flow).js,/package/deobfuscated/ndex(control_flow)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
bleeding-edge-css,Dead Code Injection,/package/obfuscated/ndex(dead_code).js,/package/deobfuscated/ndex(dead_code)deobf.js,manual,deobfuscate.relative.im,Yes,Yes,
bleeding-edge-css,Split Strings,/package/obfuscated/ndex(split_str).js,/package/deobfuscated/ndex(split_str)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,Split Strings Chunk Length set on 2
bleeding-edge-css,Unicode Escape Sequence,/package/obfuscated/ndex(unicode).js,/package/deobfuscated/ndex(unicode)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
bleeding-edge-css,String Array ,/package/obfuscated/ndex(string_array).js,/package/deobfuscated/ndex(string_array)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
bleeding-edge-css,String Array Rotate,/package/obfuscated/ndex(sa_rotate).js,/package/deobfuscated/ndex(sa_rotate)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
bleeding-edge-css,String Array  Index Shift,/package/obfuscated/ndex(sa_index_shift).js,/package/deobfuscated/ndex(sa_index_shift)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
bleeding-edge-css,String Array Calls Transform,/package/obfuscated/ndex(sa_calls_trans).js,/package/deobfuscated/ndex(sa_calls_trans)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
alprazolamdiv,Simplify,/package/obfuscated/src/client/actions/UserGet(simplify).js,/package/deobfuscated/src/client/actions/UserGet(simplify)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
alprazolamdiv,Self Defending,/package/obfuscated/src/client/actions/UserGet(self_def).js,/package/deobfuscated/src/client/actions/UserGet(self_def)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,In obfuscator.io forcibly sets compact obfuscation value to true 
alprazolamdiv,Debug Protection,/package/obfuscated/src/client/actions/UserGet(deb_protect).js,/package/deobfuscated/src/client/actions/UserGet(deb_protect)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
alprazolamdiv,Number to Expressions,/package/obfuscated/src/client/actions/UserGet(num_to_exp).js,/package/deobfuscated/src/client/actions/UserGet(num_to_exp)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
alprazolamdiv,Control Flow Flattening,/package/obfuscated/src/client/actions/UserGet(control_flow).js,/package/deobfuscated/src/client/actions/UserGet(control_flow)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
alprazolamdiv,Dead Code Injection,/package/obfuscated/src/client/actions/UserGet(dead_code).js,/package/deobfuscated/src/client/actions/UserGet(dead_code)deobf.js,manual,deobfuscate.relative.im,Yes,Yes,
alprazolamdiv,Split Strings,/package/obfuscated/src/client/actions/UserGet(split_str).js,/package/deobfuscated/src/client/actions/UserGet(split_str)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,Split Strings Chunk Length set on 2
alprazolamdiv,Unicode Escape Sequence,/package/obfuscated/src/client/actions/UserGet(unicode).js,/package/deobfuscated/src/client/actions/UserGet(unicode)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
